#FIR coefficients for EISCAT 3D FSRU Delays
#
#April 20, 2017
#Computed using Equiripple Method
#
#Delay is in picoseconds
#Coefficients are signed, 18 bits, 3 integer bits.  Full scale = 32768.
#
#Delay Coef0 Coef1 Coef2 Coef3 Coef4 Coef5 Coef6 Coef7 Coef8 Coef9 
0 -811 2080 -5072 20976 20250 -7107 3959 -2178 1247 -577 
20 -811 2080 -5068 20893 20339 -7120 3964 -2180 1248 -578 
40 -811 2079 -5063 20810 20428 -7133 3969 -2182 1249 -578 
60 -811 2078 -5058 20727 20516 -7146 3974 -2184 1250 -579 
80 -811 2078 -5053 20644 20604 -7158 3978 -2187 1251 -579 
100 -810 2077 -5048 20561 20692 -7170 3983 -2188 1252 -579 
120 -810 2076 -5043 20477 20780 -7182 3987 -2190 1253 -580 
140 -810 2075 -5037 20393 20868 -7194 3991 -2192 1254 -580 
160 -810 2074 -5031 20310 20955 -7205 3995 -2194 1254 -580 
180 -810 2073 -5025 20226 21043 -7216 3999 -2195 1255 -581 
200 -810 2072 -5019 20142 21130 -7227 4003 -2197 1256 -581 
220 -809 2070 -5013 20058 21217 -7238 4006 -2198 1256 -581 
240 -809 2069 -5006 19973 21303 -7248 4010 -2200 1257 -581 
260 -809 2067 -4999 19889 21390 -7258 4013 -2201 1257 -581 
280 -808 2066 -4993 19805 21476 -7268 4016 -2202 1258 -581 
300 -808 2064 -4985 19720 21562 -7277 4019 -2203 1258 -582 
320 -807 2062 -4978 19635 21648 -7286 4021 -2204 1258 -582 
340 -807 2060 -4970 19550 21734 -7295 4024 -2205 1258 -582 
360 -806 2059 -4963 19466 21819 -7304 4026 -2206 1259 -582 
380 -806 2057 -4955 19380 21905 -7312 4028 -2206 1259 -582 
400 -805 2054 -4947 19295 21990 -7320 4030 -2207 1259 -582 
420 -805 2052 -4939 19210 22075 -7328 4032 -2207 1259 -582 
440 -804 2050 -4930 19125 22159 -7335 4034 -2208 1259 -582 
460 -803 2048 -4921 19039 22244 -7342 4035 -2208 1259 -582 
480 -803 2045 -4913 18954 22328 -7349 4037 -2208 1259 -582 
500 -802 2043 -4904 18868 22412 -7356 4038 -2208 1259 -581 
520 -801 2040 -4894 18782 22495 -7362 4039 -2208 1258 -581 
540 -800 2038 -4885 18696 22579 -7368 4040 -2208 1258 -581 
560 -799 2035 -4875 18611 22662 -7374 4041 -2208 1258 -581 
580 -798 2032 -4866 18525 22745 -7379 4041 -2208 1257 -581 
600 -798 2029 -4856 18438 22828 -7384 4041 -2208 1257 -580 
620 -797 2026 -4846 18352 22911 -7389 4042 -2207 1256 -580 
640 -796 2023 -4836 18266 22993 -7394 4042 -2207 1256 -580 
660 -795 2020 -4825 18180 23075 -7398 4041 -2206 1255 -579 
680 -794 2017 -4815 18093 23157 -7402 4041 -2205 1255 -579 
700 -793 2013 -4804 18007 23239 -7406 4041 -2205 1254 -579 
720 -791 2010 -4793 17920 23320 -7409 4040 -2204 1253 -578 
740 -790 2006 -4782 17833 23401 -7412 4039 -2203 1252 -578 
760 -789 2003 -4770 17747 23482 -7415 4038 -2202 1251 -577 
780 -788 1999 -4759 17660 23563 -7417 4037 -2200 1251 -577 
800 -787 1996 -4747 17573 23643 -7419 4036 -2199 1250 -576 
820 -785 1992 -4736 17486 23723 -7421 4034 -2198 1249 -576 
840 -784 1988 -4724 17399 23803 -7423 4032 -2196 1248 -575 
860 -783 1984 -4712 17312 23883 -7424 4031 -2195 1246 -575 
880 -781 1980 -4699 17225 23962 -7425 4029 -2193 1245 -574 
900 -780 1976 -4687 17138 24041 -7425 4026 -2192 1244 -574 
920 -779 1972 -4674 17050 24120 -7426 4024 -2190 1243 -573 
940 -777 1968 -4661 16963 24199 -7426 4021 -2188 1241 -572 
960 -776 1963 -4649 16876 24277 -7425 4019 -2186 1240 -572 
980 -774 1959 -4635 16788 24355 -7425 4016 -2184 1239 -571 
1000 -773 1955 -4622 16701 24433 -7424 4013 -2181 1237 -570 
1020 -771 1950 -4609 16613 24511 -7423 4010 -2179 1236 -569 
1040 -769 1945 -4595 16526 24588 -7421 4006 -2177 1234 -569 
1060 -768 1941 -4582 16438 24665 -7419 4003 -2174 1232 -568 
1080 -766 1936 -4568 16351 24742 -7417 3999 -2172 1231 -567 
1100 -764 1931 -4554 16263 24818 -7415 3995 -2169 1229 -566 
1120 -763 1926 -4540 16175 24894 -7412 3991 -2166 1227 -565 
1140 -761 1921 -4525 16087 24970 -7409 3987 -2164 1225 -564 
1160 -759 1916 -4511 16000 25046 -7405 3982 -2161 1223 -563 
1180 -757 1911 -4496 15912 25121 -7402 3978 -2158 1221 -562 
1200 -755 1906 -4481 15824 25196 -7398 3973 -2154 1219 -561 
1220 -754 1901 -4467 15736 25271 -7393 3968 -2151 1217 -560 
1240 -752 1895 -4452 15648 25345 -7388 3963 -2148 1215 -559 
1260 -750 1890 -4436 15560 25419 -7383 3958 -2145 1213 -558 
1280 -748 1885 -4421 15472 25493 -7378 3952 -2141 1211 -557 
1300 -746 1879 -4406 15384 25567 -7373 3947 -2138 1209 -556 
1320 -744 1873 -4390 15296 25640 -7367 3941 -2134 1206 -555 
1340 -742 1868 -4374 15208 25713 -7360 3935 -2130 1204 -554 
1360 -740 1862 -4358 15120 25786 -7354 3929 -2126 1201 -553 
1380 -738 1856 -4342 15032 25858 -7347 3923 -2122 1199 -552 
1400 -735 1850 -4326 14944 25930 -7340 3916 -2118 1197 -550 
1420 -733 1844 -4310 14856 26002 -7332 3909 -2114 1194 -549 
1440 -731 1838 -4293 14768 26074 -7324 3903 -2110 1191 -548 
1460 -729 1832 -4277 14680 26145 -7316 3896 -2106 1189 -547 
1480 -727 1826 -4260 14592 26216 -7307 3889 -2101 1186 -545 
1500 -724 1820 -4243 14504 26286 -7298 3881 -2097 1183 -544 
1520 -722 1814 -4226 14416 26357 -7289 3874 -2092 1180 -543 
1540 -720 1807 -4209 14328 26427 -7280 3866 -2088 1177 -541 
1560 -717 1801 -4192 14240 26496 -7270 3858 -2083 1175 -540 
1580 -715 1794 -4175 14152 26566 -7260 3850 -2078 1172 -538 
1600 -713 1788 -4157 14064 26635 -7249 3842 -2073 1169 -537 
1620 -710 1781 -4140 13976 26703 -7238 3834 -2068 1165 -535 
1640 -708 1775 -4122 13888 26772 -7227 3825 -2063 1162 -534 
1660 -705 1768 -4104 13799 26840 -7216 3817 -2058 1159 -532 
1680 -703 1761 -4086 13711 26908 -7204 3808 -2052 1156 -531 
1700 -700 1754 -4068 13623 26975 -7192 3799 -2047 1153 -529 
1720 -698 1747 -4050 13535 27042 -7179 3790 -2041 1149 -528 
1740 -695 1740 -4031 13448 27109 -7167 3780 -2036 1146 -526 
1760 -692 1733 -4013 13360 27175 -7154 3771 -2030 1143 -525 
1780 -690 1726 -3994 13272 27241 -7140 3761 -2024 1139 -523 
1800 -687 1719 -3976 13184 27307 -7126 3751 -2019 1136 -521 
1820 -684 1712 -3957 13096 27373 -7112 3741 -2013 1132 -520 
1840 -682 1705 -3938 13008 27438 -7098 3731 -2007 1128 -518 
1860 -679 1697 -3919 12920 27502 -7083 3721 -2001 1125 -516 
1880 -676 1690 -3900 12832 27567 -7068 3710 -1994 1121 -514 
1900 -673 1683 -3880 12745 27631 -7052 3699 -1988 1117 -513 
1920 -670 1675 -3861 12657 27695 -7037 3688 -1982 1114 -511 
1940 -668 1668 -3842 12569 27758 -7021 3677 -1975 1110 -509 
1960 -665 1660 -3822 12482 27821 -7004 3666 -1969 1106 -507 
1980 -662 1652 -3802 12394 27884 -6987 3655 -1962 1102 -505 
2000 -659 1645 -3783 12307 27946 -6970 3643 -1955 1098 -503 
2020 -656 1637 -3763 12219 28008 -6953 3632 -1949 1094 -502 
2040 -653 1629 -3743 12132 28070 -6935 3620 -1942 1090 -500 
2060 -650 1621 -3723 12044 28131 -6917 3608 -1935 1086 -498 
2080 -647 1613 -3702 11957 28192 -6898 3595 -1928 1081 -496 
2100 -644 1605 -3682 11870 28253 -6880 3583 -1921 1077 -494 
2120 -641 1597 -3662 11782 28313 -6861 3571 -1913 1073 -492 
2140 -638 1589 -3641 11695 28373 -6841 3558 -1906 1069 -490 
2160 -635 1581 -3621 11608 28433 -6821 3545 -1899 1064 -488 
2180 -631 1573 -3600 11521 28492 -6801 3532 -1891 1060 -486 
2200 -628 1564 -3579 11434 28551 -6781 3519 -1884 1055 -483 
2220 -625 1556 -3558 11347 28609 -6760 3505 -1876 1051 -481 
2240 -622 1548 -3537 11260 28667 -6739 3492 -1868 1046 -479 
2260 -619 1539 -3516 11173 28725 -6717 3478 -1860 1042 -477 
2280 -615 1531 -3495 11087 28783 -6695 3464 -1853 1037 -475 
2300 -612 1522 -3474 11000 28840 -6673 3450 -1845 1032 -473 
2320 -609 1514 -3453 10913 28896 -6651 3436 -1836 1028 -470 
2340 -606 1505 -3431 10827 28953 -6628 3422 -1828 1023 -468 
2360 -602 1496 -3410 10740 29008 -6605 3407 -1820 1018 -466 
2380 -599 1488 -3388 10654 29064 -6581 3393 -1812 1013 -464 
2400 -596 1479 -3366 10568 29119 -6557 3378 -1803 1008 -461 
2420 -592 1470 -3345 10481 29174 -6533 3363 -1795 1003 -459 
2440 -589 1461 -3323 10395 29229 -6509 3348 -1786 998 -457 
2460 -585 1452 -3301 10309 29283 -6484 3333 -1778 993 -454 
2480 -582 1443 -3279 10223 29336 -6459 3317 -1769 988 -452 
2500 -578 1434 -3257 10137 29390 -6433 3302 -1760 983 -450 
2520 -575 1425 -3235 10051 29443 -6407 3286 -1751 978 -447 
2540 -571 1416 -3212 9966 29495 -6381 3270 -1742 973 -445 
2560 -568 1407 -3190 9880 29547 -6354 3254 -1733 967 -442 
2580 -564 1398 -3168 9795 29599 -6327 3238 -1724 962 -440 
2600 -561 1389 -3145 9709 29650 -6300 3221 -1715 957 -437 
2620 -557 1380 -3123 9624 29701 -6273 3205 -1706 951 -435 
2640 -553 1370 -3100 9538 29752 -6245 3188 -1696 946 -432 
2660 -550 1361 -3078 9453 29802 -6216 3171 -1687 941 -430 
2680 -546 1352 -3055 9368 29852 -6188 3154 -1677 935 -427 
2700 -543 1342 -3032 9283 29902 -6159 3137 -1668 930 -425 
2720 -539 1333 -3009 9199 29951 -6130 3120 -1658 924 -422 
2740 -535 1323 -2986 9114 30000 -6100 3102 -1648 918 -419 
2760 -531 1314 -2963 9029 30048 -6070 3085 -1638 913 -417 
2780 -528 1304 -2940 8945 30096 -6040 3067 -1629 907 -414 
2800 -524 1294 -2917 8860 30143 -6009 3049 -1619 901 -411 
2820 -520 1285 -2894 8776 30190 -5978 3031 -1609 895 -409 
2840 -516 1275 -2871 8692 30237 -5947 3012 -1598 890 -406 
2860 -512 1265 -2847 8608 30283 -5915 2994 -1588 884 -403 
2880 -509 1256 -2824 8524 30329 -5883 2976 -1578 878 -401 
2900 -505 1246 -2800 8440 30375 -5851 2957 -1568 872 -398 
2920 -501 1236 -2777 8356 30420 -5818 2938 -1557 866 -395 
2940 -497 1226 -2753 8273 30465 -5785 2919 -1547 860 -392 
2960 -493 1216 -2730 8189 30509 -5752 2900 -1536 854 -390 
2980 -489 1206 -2706 8106 30553 -5718 2881 -1525 848 -387 
3000 -485 1196 -2683 8023 30597 -5684 2861 -1515 842 -384 
3020 -481 1186 -2659 7940 30640 -5650 2842 -1504 835 -381 
3040 -477 1176 -2635 7857 30682 -5615 2822 -1493 829 -378 
3060 -473 1166 -2611 7774 30725 -5580 2802 -1482 823 -375 
3080 -469 1156 -2587 7691 30767 -5545 2782 -1471 817 -372 
3100 -465 1146 -2563 7609 30808 -5509 2762 -1460 810 -369 
3120 -461 1136 -2539 7527 30849 -5473 2742 -1449 804 -366 
3140 -457 1126 -2515 7444 30890 -5437 2721 -1438 798 -363 
3160 -453 1115 -2491 7362 30930 -5400 2701 -1426 791 -361 
3180 -449 1105 -2467 7280 30970 -5363 2680 -1415 785 -358 
3200 -445 1095 -2443 7198 31009 -5325 2659 -1404 778 -355 
3220 -441 1084 -2419 7117 31048 -5288 2638 -1392 772 -352 
3240 -437 1074 -2395 7035 31087 -5250 2617 -1381 765 -348 
3260 -433 1064 -2370 6954 31125 -5211 2596 -1369 758 -345 
3280 -429 1053 -2346 6873 31163 -5173 2574 -1357 752 -342 
3300 -425 1043 -2322 6792 31200 -5133 2553 -1345 745 -339 
3320 -420 1032 -2297 6711 31237 -5094 2531 -1334 738 -336 
3340 -416 1022 -2273 6630 31274 -5054 2509 -1322 732 -333 
3360 -412 1011 -2248 6549 31310 -5014 2487 -1310 725 -330 
3380 -408 1001 -2224 6469 31346 -4974 2465 -1298 718 -327 
3400 -404 990 -2200 6388 31381 -4933 2443 -1286 711 -324 
3420 -399 980 -2175 6308 31416 -4892 2420 -1273 704 -321 
3440 -395 969 -2150 6228 31450 -4851 2398 -1261 698 -317 
3460 -391 958 -2126 6148 31484 -4809 2375 -1249 691 -314 
3480 -387 948 -2101 6069 31518 -4767 2353 -1237 684 -311 
3500 -382 937 -2077 5989 31551 -4725 2330 -1224 677 -308 
3520 -378 926 -2052 5910 31584 -4682 2307 -1212 670 -304 
3540 -374 916 -2027 5831 31616 -4639 2283 -1199 662 -301 
3560 -370 905 -2002 5752 31648 -4595 2260 -1187 655 -298 
3580 -365 894 -1978 5673 31679 -4552 2237 -1174 648 -295 
3600 -361 883 -1953 5594 31710 -4508 2213 -1161 641 -291 
3620 -357 873 -1928 5516 31741 -4463 2189 -1149 634 -288 
3640 -352 862 -1903 5438 31771 -4419 2166 -1136 627 -285 
3660 -348 851 -1879 5360 31801 -4374 2142 -1123 619 -281 
3680 -344 840 -1854 5282 31830 -4328 2118 -1110 612 -278 
3700 -339 829 -1829 5204 31859 -4283 2094 -1097 605 -275 
3720 -335 818 -1804 5126 31887 -4237 2069 -1084 598 -271 
3740 -330 807 -1779 5049 31915 -4190 2045 -1071 590 -268 
3760 -326 796 -1754 4972 31943 -4144 2020 -1058 583 -265 
3780 -322 785 -1729 4895 31970 -4097 1996 -1044 575 -261 
3800 -317 774 -1704 4818 31997 -4049 1971 -1031 568 -258 
3820 -313 764 -1680 4741 32023 -4002 1946 -1018 560 -254 
3840 -308 753 -1655 4665 32049 -3954 1921 -1004 553 -251 
3860 -304 742 -1630 4588 32074 -3905 1896 -991 545 -248 
